Bus_No, Real_Power, Reactive_Power, Status, Priority, Original_Node_number
1,0,0,1,1,160,0
2,5,0,0,0.5,161,0
3,5,0,0,0.5,162,0
4,10,0,0,1,163,0
5,5,0,0,0.5,164,0
6,5,0,0,0.1,165,0
7,5,0,0,0.5,166,0
8,5,0,0,0.1,167,0
9,5,0,0,0.1,168,0
10,5,0,0,0.1,169,0
11,5,0,0,0.5,170,0
12,10,0,0,1,171,0
13,5,0,0,0.1,172,0
14,0,0,0,0.5,173,0
15,5,0,0,0.1,174,0
16,5,0,0,0.1,175,0
17,5,0,0,0.1,176,0
18,0,0,0,0.5,177,0
19,8,0,0,0.5,178,0
20,5,0,0,1,179,0
21,0,0,0,0.1,180,0
22,0,0,0,0.1,181,0
23,5,0,0,0.5,182,0
24,5,0,0,0.5,183,0
25,15,0,0,1,184,0
